"","session.x","iso3c.y","IdealPointDistance"
"203",63,"URY",0.0741058
"204",63,"RUS",0.000414100000000001
"205",63,"ZAF",0.4101468
"206",63,"CHN",0.4534452
"207",63,"IND",0.4606475
"208",64,"USA",2.9232089
"209",64,"VEN",1.0547761
"210",64,"PRY",0.0266574
"211",64,"ARG",0.31961024
"212",64,"URY",0.1834438
"213",64,"RUS",0.32239347
"214",64,"ZAF",0.1733544
"215",64,"CHN",0.2765336
"216",64,"IND",0.1164861
"217",65,"USA",3.0143467
"218",65,"VEN",0.8134813
"219",65,"PRY",0.1312503
"220",65,"ARG",0.50716368
"221",65,"URY",0.3301299
"222",65,"RUS",0.50589069
"223",65,"ZAF",0.0119918
"224",65,"CHN",0.3693506
"225",65,"IND",0.0726069
"226",66,"USA",3.0346033
"227",66,"VEN",1.3116887
"228",66,"PRY",0.1942889
"229",66,"ARG",0.48344892
"230",66,"URY",0.2075307
"231",66,"RUS",0.3702788
"232",66,"ZAF",0.1538889
"233",66,"CHN",0.1863733
"234",66,"IND",0.00441420000000003
"235",67,"USA",3.1565795
"236",67,"VEN",0.9021165
"237",67,"PRY",0.3996314
"238",67,"ARG",0.48113009
"239",67,"URY",0.1940088
"240",67,"RUS",0.6999206
"241",67,"ZAF",0.1662521
"242",67,"CHN",0.2725035
"243",67,"IND",0.1022221
"244",68,"USA",3.2920531
"245",68,"VEN",0.8606529
"246",68,"PRY",0.7493952
"247",68,"ARG",0.4792037
"248",68,"URY",0.1872494
"249",68,"RUS",0.60161838
"250",68,"ZAF",0.1547156
"251",68,"CHN",0.0901555000000001
"252",68,"IND",0.000313899999999978
"253",69,"USA",3.3330572
"254",69,"VEN",0.6916108
"255",69,"PRY",0.73362315
"256",69,"ARG",0.5095958
"257",69,"URY",0.2275572
"258",69,"RUS",0.73673399
"259",69,"ZAF",0.1559087
"260",69,"CHN",0.1772626
"261",69,"IND",0.1976018
"262",70,"USA",3.1382497
"263",70,"VEN",1.0190103
"264",70,"PRY",0.58595026
"265",70,"ARG",0.4059754
"266",70,"URY",0.1148615
"267",70,"RUS",0.7616033
"268",70,"ZAF",0.2638149
"269",70,"CHN",0.3195943
"270",70,"IND",0.3912894
"271",71,"USA",3.0769879
"272",71,"VEN",1.0261091
"273",71,"PRY",0.48754481
"274",71,"ARG",0.3959682
"275",71,"URY",0.1146232
"276",71,"RUS",0.7369963
"277",71,"ZAF",0.0257362
"278",71,"CHN",0.085167
"279",71,"IND",0.2135243
"280",72,"USA",2.9661296
"281",72,"VEN",1.2936324
"282",72,"PRY",0.25534503
"283",72,"ARG",0.1952517
"284",72,"URY",0.1827854
"285",72,"RUS",0.4187689
"286",72,"ZAF",0.1410363
"287",72,"CHN",0.0656736
"288",72,"IND",0.1138671
"289",73,"USA",2.8252317
"290",73,"VEN",1.4618653
"291",73,"PRY",0.0858858
"292",73,"ARG",0.03550497
"293",73,"URY",0.3163583
"294",73,"RUS",0.1849742
"295",73,"ZAF",0.3728711
"296",73,"CHN",0.437615
"297",73,"IND",0.2060629
"298",74,"USA",2.39454
"299",74,"VEN",2.113516
"300",74,"PRY",0.4792812
"301",74,"ARG",0.37591268
"302",74,"URY",0.7066213
"303",74,"RUS",0.1696597
"304",74,"ZAF",0.6436731
"305",74,"CHN",0.6306261
"306",74,"IND",0.4739612
"307",75,"USA",2.4905576
"308",75,"VEN",2.0951734
"309",75,"PRY",0.567056
"310",75,"ARG",0.41191464
"311",75,"URY",0.39888332
"312",75,"RUS",0.2241679
"313",75,"ZAF",0.6681568
"314",75,"CHN",0.8465651
"315",75,"IND",0.43278253
